Refid, Authors, Title, Linked Refid, Linked Authors, Linked Title,Linked Reason
1930,"Wasserman, D, Hoven, CW, Wasserman, C, Wall, M, Eisenberg, R, Hadlaczky, G, Kelleher, I, Sarchiapone, M, Apter, A, Balazs, J, Bobes, J, Brunner, R, Corcoran, P, Cosman, D, Guillemin, F, Haring, C, Iosue, M, Kaess, M, Kahn, JP, Keeley, H, Musa, GJ, Nemes, B, Postuvan, V, Saiz, P, Reiter-Theil, S, Varnik, A, Varnik, P, Carli, V","School-based suicide prevention programmes: the SEYLE cluster-randomised, controlled trial.",1455,"Levi-Belz, Y, Gavish-Marom, T, Barzilay, S, Apter, A, Carli, V, Hoven, C, Sarchiapone, M, Wasserman, D",Psychosocial Factors Correlated with Undisclosed Suicide Attempts to Significant Others: Findings from the Adolescence SEYLE Study.,1455 is on the Israeli subsample with suicide attempts
1930,"Wasserman, D, Hoven, CW, Wasserman, C, Wall, M, Eisenberg, R, Hadlaczky, G, Kelleher, I, Sarchiapone, M, Apter, A, Balazs, J, Bobes, J, Brunner, R, Corcoran, P, Cosman, D, Guillemin, F, Haring, C, Iosue, M, Kaess, M, Kahn, JP, Keeley, H, Musa, GJ, Nemes, B, Postuvan, V, Saiz, P, Reiter-Theil, S, Varnik, A, Varnik, P, Carli, V","School-based suicide prevention programmes: the SEYLE cluster-randomised, controlled trial.",5365,"Benatov, Joy, Klomek, Anat Brunstein, Shira, Barzilay, Apter, Alan, Carli, Vladimir, Wasserman, Camilla, Hoven, Christina W., Sarchiapone, Marco, Balazs, Juit, Bobes, Julio, Brunner, Romuald, Corcoran, Paul, Cosman, Doina, Haring, Christian, Kahn, Jean-Pierre, Keeley, Helen, Kereszteny, Agnes, Podlogar, Tina, Postuvan, Vita, Saiz, Pilar A., Sisask, Merike, Varnik, Airi, Wasserman, Danuta",Doing nothing is sometimes worse: Comparing avoidant versus approach coping strategies with peer victimization and their association to depression and suicide ideation.,"Both SEYLE study, 5365 is subgroup of peer victimized participants"
1930,"Wasserman, D, Hoven, CW, Wasserman, C, Wall, M, Eisenberg, R, Hadlaczky, G, Kelleher, I, Sarchiapone, M, Apter, A, Balazs, J, Bobes, J, Brunner, R, Corcoran, P, Cosman, D, Guillemin, F, Haring, C, Iosue, M, Kaess, M, Kahn, JP, Keeley, H, Musa, GJ, Nemes, B, Postuvan, V, Saiz, P, Reiter-Theil, S, Varnik, A, Varnik, P, Carli, V","School-based suicide prevention programmes: the SEYLE cluster-randomised, controlled trial.",492,"Staines, L, Healy, C, Corcoran, P, Keeley, H, Coughlan, H, McMahon, E, Cotter, P, Cotter, D, Kelleher, I, Wasserman, C, Brunner, R, Kaess, M, Sarchiapone, M, Hoven, CW, Carli, V, Wasserman, D, Cannon, M",Investigating the effectiveness of three school based interventions for preventing psychotic experiences over a year period - a secondary data analysis study of a randomized control trial.,492 contains Irish sub-sample of main study
1930,"Wasserman, D, Hoven, CW, Wasserman, C, Wall, M, Eisenberg, R, Hadlaczky, G, Kelleher, I, Sarchiapone, M, Apter, A, Balazs, J, Bobes, J, Brunner, R, Corcoran, P, Cosman, D, Guillemin, F, Haring, C, Iosue, M, Kaess, M, Kahn, JP, Keeley, H, Musa, GJ, Nemes, B, Postuvan, V, Saiz, P, Reiter-Theil, S, Varnik, A, Varnik, P, Carli, V","School-based suicide prevention programmes: the SEYLE cluster-randomised, controlled trial.",2218,"Wasserman, C, Hoven, CW, Wasserman, D, Carli, V, Sarchiapone, M, Al-Halabí, S, Apter, A, Balazs, J, Bobes, J, Cosman, D, Farkas, L, Feldman, D, Fischer, G, Graber, N, Haring, C, Herta, DC, Iosue, M, Kahn, JP, Keeley, H, Klug, K, McCarthy, J, Tubiana-Potiez, A, Varnik, A, Varnik, P, Ziberna, J, Poštuvan, V",Suicide prevention for youth--a mental health awareness program: lessons learned from the Saving and Empowering Young Lives in Europe (SEYLE) intervention study.,"Same study, cites same protocol and methods/sample sound the same"
1930,"Wasserman, D, Hoven, CW, Wasserman, C, Wall, M, Eisenberg, R, Hadlaczky, G, Kelleher, I, Sarchiapone, M, Apter, A, Balazs, J, Bobes, J, Brunner, R, Corcoran, P, Cosman, D, Guillemin, F, Haring, C, Iosue, M, Kaess, M, Kahn, JP, Keeley, H, Musa, GJ, Nemes, B, Postuvan, V, Saiz, P, Reiter-Theil, S, Varnik, A, Varnik, P, Carli, V","School-based suicide prevention programmes: the SEYLE cluster-randomised, controlled trial.",2151,"Carli, V, Wasserman, C, Wasserman, D, Sarchiapone, M, Apter, A, Balazs, J, Bobes, J, Brunner, R, Corcoran, P, Cosman, D, Guillemin, F, Haring, C, Kaess, M, Kahn, JP, Keeley, H, Keresztény, A, Iosue, M, Mars, U, Musa, G, Nemes, B, Postuvan, V, Reiter-Theil, S, Saiz, P, Varnik, P, Varnik, A, Hoven, CW",The saving and empowering young lives in Europe (SEYLE) randomized controlled trial (RCT): methodological issues and participant characteristics.,"same study, 1225 cites 2151 as same sample"
2092,"Strunk, CM, Sorter, MT, Ossege, J, King, KA",Emotionally troubled teens' help-seeking behaviors: an evaluation of surviving the Teens® suicide prevention and depression awareness program.,2313,"King, KA, Strunk, CM, Sorter, MT",Preliminary effectiveness of surviving the teens(®) suicide prevention and depression awareness program on adolescents' suicidality and self-efficacy in performing help-seeking behaviors.,Same study
2670,"Aseltine, RH, Jr, James, A, Schilling, EA, Glanovsky, J",Evaluating the SOS suicide prevention program: a replication and extension.,2882,"Aseltine, RH, Jr, DeMartino, R",An outcome evaluation of the SOS Suicide Prevention Program.,Shared sample for year 1 of the study.
3162,"Eggert, LL, Thompson, EA, Herting, JR, Nicholas, LJ",Reducing suicide potential among high-risk youth: tests of a school-based prevention program.,5849,"Eggert, Leona L., Thompson, Elaine A., Herting, Jerald R., Nicholas, Liela J.","""Reducing suicide potential among high-risk youth: Tests of a school-based prevention program"": Erratum.",same study
3209,"Shaffer, D, Garland, A, Vieland, V, Underwood, M, Busner, C",The impact of curriculum-based suicide prevention programs for teenagers.,3208,"Vieland, V, Whittle, B, Garland, A, Hicks, R, Shaffer, D",The impact of curriculum-based suicide prevention programs for teenagers: an 18-month follow-up.,Same study
3458,"Kirchner, S, Till, B, Ploderl, M, Niederkrotenthaler, T",Effects of ‘It Gets Better’ suicide prevention videos on LGBTQ youth: randomised controlled trial,642,"Kirchner, S, Till, B, Plöderl, M, Niederkrotenthaler, T","Effects of ""It Gets Better"" Suicide Prevention Videos on Youth Identifying as Lesbian, Gay, Bisexual, Transgender, Queer, or Other Sexual or Gender Minorities: A Randomized Controlled Trial.",Same study
4926,"Pickering, Trevor A., Wyman, Peter A., Schmeelk-Cone, Karen, Hartley, Chelsey, Valente, Thomas W., Pisani, Anthony R., Rulison, Kelly L., Brown, Charles Hendricks, LoMurray, Mark",Diffusion of a peer-led suicide preventive intervention through school-based student peer and adult networks.,8498,"Pickering, Trevor A; Wyman, Peter A; Valente, Thomas W",A comparison of peer change agent selection methods: Evidence from a high-school based suicide preventive intervention.,Same study 
